Store_nr,store_name,Address,"Latitude, Long",Address found
135425,松捷,台北市信義區忠孝東路五段1之6號,"25.0413712,121.5649767","No. 1之2號, Section 5 of Zhongxiao East RoadSection 5 of Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110"
135562,麟運,台北市信義區和平東路三段461號461之1號1樓,"25.0187114,121.5589378","110, Taiwan, Taipei City, Xinyi District, 和平東路三段461號461 之 1"
136716,光復,台北市信義區光復南路471號,"25.0337373,121.5577492","No. 471, Guangfu S Rd, Xinyi District, Taipei City, Taiwan 110"
144636,新光,台北市信義區松高路12號B1樓,"25.0388349,121.5668013","110, Taiwan, Taipei City, Xinyi District, Songgao Rd, 12號號 B1 樓"
147299,松義,台北市信義區松德路271號,"25.0329151,121.5747435","No. 271, Songde Rd, Xinyi District, Taipei City, Taiwan 110"
149697,三興,台北市信義區吳興街156巷2弄2號4號1樓,"25.0291736,121.5614917","110, Taiwan, Taipei City, Xinyi District, Alley 2, Lane 156, Wuxing St, 2號4號1樓"
151335,仁和,台北市信義區正和里光復南路419巷41號,"25.0366161,121.5585076","No. 41, Lane 419, Guangfu S Rd, Xinyi District, Taipei City, Taiwan 110"
158738,信林,台北市信義區虎林街222巷7號9號1樓,"25.0372039,121.5771676","1, No. 7, Lane 222, Hulin St, Xinyi District, Taipei City, Taiwan 110"
159269,松錢,台北市信義區松隆路192號194號1樓,"25.0467535,121.5723981","1, No. 192, Songlong Rd, Xinyi District, Taipei City, Taiwan 110"
164216,凱悅,台北市信義區基隆路一段398號1樓,"25.0342889,121.5600266","1, No. 398, Section 1, Keelung Rd, Xinyi District, Taipei City, Taiwan 110"
164490,吳興,台北市信義區吳興街284巷18弄2號,"25.0246083,121.5635345","No. 2, Alley 18, Lane 284, Wuxing St, Xinyi District, Taipei City, Taiwan 110"
165987,國貿,台北市信義區基隆路一段333號B3,"25.034257,121.5610245","11012, Taiwan, Taipei City, Xinyi District, Section 1, Keelung Rd, 333號B3"
174970,松智,台北市信義區莊敬路325巷43號,"25.0291432,121.564767","No. 43, Lane 325, Zhuangjing Rd, Xinyi District, Taipei City, Taiwan 110"
185143,昌隆,台北市信義區基隆路二段131-4號,"25.0280419,121.5568913","No. 131-4, Section 2, Keelung Rd, Xinyi District, Taipei City, Taiwan 110"
190330,必成,台北市信義區基隆路一段178號180號1樓,"25.0424254,121.5649266","No. 178, Section 1, Keelung Rd, Xinyi District, Taipei City, Taiwan 110"
193247,慶林,台北市信義區虎林街151號153號1樓,"25.03951,121.576738","153 号 1, No. 151, Hulin St, Xinyi District, Taipei City, Taiwan 110"
195807,富比世,台北市信義區松仁路246號248號1樓,"25.0245738,121.5694179","248 号 1, No. 246, Songren Rd, Xinyi District, Taipei City, Taiwan 110"
195955,忠隆,台北市信義區忠孝東路五段71巷6號1樓,"25.0417974,121.5672453","1樓, No. 6號, Lane 71, Section 5, Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110"
196040,松聯,台北市信義區忠孝東路四段559巷24號1樓,"25.0427013,121.5638676","110, Taiwan, Taipei City, Xinyi District, Lane 559, Section 4, Zhongxiao E Rd, 24號1樓"
197733,鑫國泰,台北市信義區忠孝東路五段68號24樓,"25.0404786,121.5670151","24樓, No. 68號, Section 5 of Zhongxiao East RoadSection 5 of Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110"
198389,嘉馥,台北市信義區信義路六段21號23號1樓,"25.03444,121.575498","1, No. 21, Section 6, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110"
198758,捷忠,台北市信義區忠孝東路五段617號,"25.0416917,121.5790542","No. 617, Section 5 of Zhongxiao East RoadSection 5 of Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110"
198781,松信,台北市信義區松信路148號1樓,"25.0436508,121.5718648","110, Taiwan, Taipei City, Xinyi District, Songxin Rd, 148號1樓"
